Participant,Total Time,Total Fails,First Decode,Second Decode,Third Decode,Fails Lvl 1,Fails Lvl 2, Fails Lvl 2
,0,"0","0","0","0","0","0","0"
Unknown Participant,31.80849,"15","7.01503","10.11294","14.68053","3","5","7"
